Key,Smiles,Exp_HOMO,Exp_LUMO,Calc_HOMO,Calc_LUMO,,,,,,,,
28,COC1=C(C=C2C3=CC=C(/C=C(C(O)=O)\C#N)S3)C4=C(C2=CC=C5)C5=C(OC)C6=CC(C7=CC=C(N(C8=CC=C(C)C=C8)C9=CC=C(C)C=C9)C=C7)=C(C=CC=C%101)C%10=C64,-0.185954209694609,-0.0918746095329095,-0.186978795828439,-0.108021087212051,,,,,-5.06,-2.5,-5.08788001328765,-2.93936180412712
29,O=C(O)/C(C#N)=C/C1=CC=C(C2=C(C=C3C4=CC=C(OC)C=C4)C5=C(C3=CC=C6)C6=C(C7=CC=C(/C=C(C(O)=O)\C#N)S7)C8=CC(C9=CC=C(OC)C=C9)=C(C=CC=C%102)C%10=C85)S1,-0.194774172209768,-0.105104553305648,-0.200294356084529,-0.11259444494736,,,,,-5.3,-2.86,-5.45020972341612,-3.06380744146262
30,O=C(O)/C(C#N)=C/C1=CC=C(C2=C3C(C4=CC=C3)=C5C6=C7C(C=CC=C7C(C8=CC=C(N(C9=CC=C(C)C=C9)C%10=CC=C(C)C=C%10)C=C8)=C5C=C4C%11=CC=C(OC)C=C%11)=C(C%12=CC=C(OC)C=C%12)C=C62)S1,-0.187424203447135,-0.0959170923523575,-0.186465634813062,-0.103453356184045,,,,,-5.1,-2.61,-5.07391638889824,-2.81506927512404
31,O=C(C1=C(C2=C34)C5=C6C=CC=C5C(C#CC7=CC=C(C)S7)=C1)C3=CC=CC4=C(C#CC8=CC=C(C)S8)C=C2C6=O,-0.218661570688325,-0.152144353386498,-0.200584056641284,-0.124045569806328,,,,,-5.95,-4.14,-5.45809276526599,-3.37540399999999
32,O=C(C1=C(C2=C34)C5=C6C=CC=C5C(C#CC7=CC=C(C)C=C7)=C1)C3=CC=CC4=C(C#CC8=CC=C(C)C=C8)C=C2C6=O,-0.224909044136562,-0.15251185182463,-0.208582282893992,-0.124045569806328,,,,,-6.12,-4.15,-5.67573249982842,-3.375404
33,CC(C=C1)=CC=C1C#CC2=CC3=C(C#CC4=CC=C(C)C=C4)C5=CC=CC6=C(C#CC7=CC=C(C)C=C7)C=C8C(C#CC9=CC=C(C)C=C9)=C%10C=CC=C2C%10=C3C8=C56,-0.196611664400426,-0.130461945536731,-0.179065782220425,-0.102938969193295,,,,,-5.35,-3.55,-4.87255899999999,-2.80107229071874
34,CC1=CC=C(C2=CC3=C(C4=CC=C(C)S4)C5=CC=CC6=C(C7=CC=C(C)S7)C=C8C(C9=CC=C(C)S9)=C%10C=CC=C2C%10=C3C8=C56)S1,-0.199184153467348,-0.119436992392782,-0.182854328049777,-0.0884003601697517,,,,,-5.42,-3.25,-4.97564912056248,-2.40546220057911
35,CC1=CC=C(C#CC2=C3C4=C5C(C(C#CC6=CC=C(C)S6)=C3)=CC=CC5=C(C#CC7=CC=C(C)S7)C8=CC(C#CC9=CC=C(C)S9)=C%10C(C2=CC=C%10)=C48)S1,-0.1951416706479,-0.13229943772739,-0.175064312226673,-0.103037852339127,,,,,-5.31,-3.6,-4.76367499999999,-2.803763
36,CC1=CC=C(C2=CC3=C(C#CC4=CC=C(C)S4)C5=CC=CC6=C(C7=CC=C(C)S7)C=C8C(C#CC9=CC=C(C)S9)=C%10C=CC=C2C%10=C3C8=C56)S1,-0.192201683142847,-0.129359450222337,-0.174376546167165,-0.100036749843813,,,,,-5.23,-3.52,-4.74496019775474,-2.7221
37,CSC1=CC=C(C#CC2=CC3=C(C#CC4=CC=C(S(=O)(C)=O)S4)C5=CC=CC6=C(C#CC7=CC=C(SC)S7)C=C8C(C#CC9=CC=C(S(=O)(C)=O)S9)=C%10C=CC=C2C%10=C3C8=C56)S1,-0.204329131601191,-0.136709418984969,-0.190413856659836,-0.120215180906811,,,,,-5.56,-3.72,-5.1813514535708,-3.27117528765524
